L N d seed D_(MIS-1) D_MIS MIS
11 97 0.8 533 5457.0 18.0 32
11 97 0.8 534 180858.0 2196.0 31
11 97 0.8 535 14636.0 100.0 32
11 97 0.8 536 384746.0 5714.0 31
11 97 0.8 537 10417.0 66.0 31
11 97 0.8 538 127014.0 1800.0 31
11 97 0.8 539 317100.0 4784.0 32
11 97 0.8 540 56786.0 224.0 32
11 97 0.8 541 2412.0 21.0 32
11 97 0.8 542 392340.0 702.0 31
11 97 0.8 543 4892.0 24.0 31
11 97 0.8 544 8344.0 16.0 32
11 97 0.8 545 39760.0 400.0 31
11 97 0.8 546 110275.0 1482.0 32
11 97 0.8 547 138976.0 1296.0 30
11 97 0.8 548 3.449676e6 53136.0 30
11 97 0.8 549 164392.0 1508.0 31
11 97 0.8 550 17152.0 142.0 33
11 97 0.8 551 34300.0 417.0 33
11 97 0.8 552 1.859112e6 8064.0 30
11 97 0.8 553 6722.0 72.0 33
11 97 0.8 554 2548.0 24.0 34
11 97 0.8 555 2584.0 24.0 33
11 97 0.8 556 286907.0 2512.0 31
11 97 0.8 557 84740.0 1008.0 32
11 97 0.8 558 526322.0 7810.0 31
11 97 0.8 559 130099.0 1320.0 31
11 97 0.8 560 570880.0 6212.0 31
11 97 0.8 561 58193.0 840.0 32
11 97 0.8 562 297380.0 2740.0 30
11 97 0.8 563 1.338042e6 17574.0 31
11 97 0.8 564 41939.0 456.0 31
11 97 0.8 565 2548.0 24.0 33
11 97 0.8 566 1.828124e6 26264.0 30
11 97 0.8 567 1919.0 20.0 34
11 97 0.8 568 379952.0 4032.0 31
11 97 0.8 569 2.013595e6 30392.0 30
11 97 0.8 570 65562.0 792.0 32
11 97 0.8 571 16984.0 30.0 32
11 97 0.8 572 15280.0 96.0 31
11 97 0.8 573 522277.0 8304.0 31
11 97 0.8 574 697410.0 10530.0 30
11 97 0.8 575 22412.0 36.0 31
11 97 0.8 576 55836.0 784.0 31
11 97 0.8 577 9853.0 87.0 33
11 97 0.8 578 38742.0 453.0 32
11 97 0.8 579 206038.0 2808.0 32
11 97 0.8 580 560397.0 8029.0 31
11 97 0.8 581 43584.0 576.0 32
11 97 0.8 582 386848.0 2856.0 30
11 97 0.8 583 28840.0 384.0 31
11 97 0.8 584 1.169294e7 191676.0 28
11 97 0.8 585 31359.0 294.0 32
11 97 0.8 586 2682.0 12.0 32
11 97 0.8 587 1.222952e6 14456.0 30
11 97 0.8 588 1731.0 12.0 33
