L,Density,Seed,UDG Radius,Frac Rewired,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,13,1.415,2,0.129122,0.290236,0.134757,0.084982,0.19456,0.088429,117
21,0.8,13,1.415,3,0.094651,0.293837,0.096699,0.095698,0.301217,0.09749,120
21,0.8,13,1.415,4,0.192982,0.346626,0.196204,0.192072,0.375686,0.194117,124
21,0.8,13,1.415,5,0.237116,1.072272,0.239064,0.243462,1.072203,0.245753,127
21,0.8,13,1.415,6,0.325925,1.450265,0.327977,0.472182,1.614505,0.474549,130
21,0.8,13,1.415,7,0.750862,2.437242,0.754158,0.451571,2.108356,0.45359,133
21,0.8,13,1.415,8,0.820494,4.96704,0.822496,0.834138,5.060532,0.835958,138
21,0.8,13,1.415,9,1.399622,8.301863,1.401921,0.796611,5.125414,0.798485,138
21,0.8,13,1.415,10,11.643033,84.329369,11.644968,2.181153,14.423906,2.183017,138
21,0.8,13,1.415,11,11.158151,81.858714,11.160068,2.048358,13.676105,2.050196,139
21,0.8,13,1.415,12,18.58677,139.202338,18.588756,2.48949,17.428144,2.491323,139
21,0.8,13,1.415,13,4.216608,30.530201,4.218556,8.095778,59.445198,8.097617,144
21,0.8,13,1.415,14,3.248667,22.579803,3.250565,1.798163,11.621728,1.799939,147
21,0.8,13,1.415,15,1.653915,9.796121,1.656286,1.241532,8.095171,1.243377,150
21,0.8,13,1.415,16,4.222789,28.092958,4.224703,3.306074,22.593795,3.307853,147
21,0.8,13,1.415,17,10.877713,77.260826,10.87975,7.32452,51.301398,7.326366,145
21,0.8,13,1.415,18,23.337951,172.32227,23.340623,23.173938,171.663642,23.175856,143
21,0.8,13,1.415,19,12.985215,93.077776,12.987344,9.28839,64.739893,9.290275,145
21,0.8,13,1.415,20,11.710861,67.247284,11.712917,13.224154,87.685553,13.226094,143
21,0.8,14,1.415,1,0.056275,0.121367,0.058919,0.055293,0.116942,0.057618,113
21,0.8,14,1.415,2,0.025634,0.037488,0.02754,0.019502,0.03475,0.02126,121
21,0.8,14,1.415,3,0.280157,0.709233,0.282426,0.187927,0.511386,0.189776,122
21,0.8,14,1.415,4,0.160033,0.335585,0.16192,0.240503,0.638851,0.242626,129
21,0.8,14,1.415,5,0.254953,1.126595,0.25686,0.260069,1.194476,0.261888,131
21,0.8,14,1.415,6,0.322115,1.612396,0.324035,0.295084,1.570467,0.296886,133
21,0.8,14,1.415,7,1.274465,8.133382,1.276377,0.496878,3.236561,0.498608,135
21,0.8,14,1.415,8,1.885856,12.345096,1.88775,1.654651,11.990667,1.656499,136
21,0.8,14,1.415,9,1.780863,11.998226,1.782823,0.474142,3.089338,0.475931,140
21,0.8,14,1.415,10,2.611278,16.091069,2.613245,2.002061,13.810698,2.003896,142
21,0.8,14,1.415,11,15.911844,118.387394,15.913831,14.319577,107.123918,14.321474,140
21,0.8,14,1.415,12,35.892581,270.763329,35.894554,2.690846,17.656529,2.69264,138
21,0.8,14,1.415,13,54.840225,416.375456,54.842186,30.517316,231.440762,30.519188,139
21,0.8,14,1.415,14,62.349352,475.864568,62.351499,48.321269,368.650892,48.323247,140
21,0.8,14,1.415,15,24.854243,186.263954,24.856199,21.309072,160.037185,21.310881,142
21,0.8,14,1.415,16,48.490672,369.645124,48.493026,40.200176,306.591976,40.202042,141
21,0.8,14,1.415,17,40.861988,305.7286,40.864045,23.419786,156.289279,23.421858,141
21,0.8,14,1.415,18,37.581808,277.441974,37.583745,0.410215,2.752377,0.411994,141
